old_name,new_name,dtype,cleaning,source
Taxyr,tax_year,Int16,replace_null_zero,None
Parid,parcel_id,String,replace_null_zero,None
Cityname,site_city,String,replace_null_empty,None
Situs Adrno,site_addrno,String,replace_null_empty,None
Situs Adrdir,site_addrdir,String,replace_null_empty,None
Situs Adrstr,site_addrstr,String,replace_null_empty,None
Situs Adrsuf,site_addrsuf,String,replace_null_empty,None
Situs Adrsuf2,site_addrsuf2,String,replace_null_empty,None
Class,site_class_parcel,String,replace_null_empty,None
Luc,site_luc_parcel,String,replace_null_empty,None
Taxdist,tax_district,String,replace_null_empty,None
Own1,owner_name_1,String,replace_null_empty,None
Own2,owner_name_2,String,replace_null_empty,None
Zip1,owner_zip,String,replace_null_empty,None
Owner Adrno,owner_addrno,String,replace_null_empty,None
Owner Adradd,owner_addradd,String,replace_null_empty,None
Owner Adrdir,owner_addrdir,String,replace_null_empty,None
Owner Adrstr,owner_addrstr,String,replace_null_empty,None
Owner Adrsuf,owner_addrsuf,String,replace_null_empty,None
Owner Adrsuf2,owner_addrsuf2,String,replace_null_empty,None
Cityname_duplicated_0,owner_city,String,replace_null_empty,None
Statecode,owner_state,String,replace_null_empty,None
Country,owner_country,String,replace_null_empty,None
Unitno,owner_unitno,String,replace_null_empty,None
Reascd,reas_code,String,replace_null_empty,None
Revcode,rev_code,String,replace_null_empty,None
Aprtot,appr_total,Float32,replace_null_zero,None
Aprland,appr_land,Float32,replace_null_zero,None
Aprbldg,appr_build,Float32,replace_null_zero,None
D Yrblt,year_built,Int16,replace_null_zero,None
D Effyr,year_eff,Int16,replace_null_zero,None
D Yrremod,year_remodel,Int16,replace_null_zero,None
D Grade,grade,String,replace_null_empty,None
Livunit,num_units,Int16,replace_null_zero,None
Sfla,building_area,Float32,replace_null_zero,None