dist_code,dist_name,tax_rate_2022,tax_rate_2021,tax_rate_2020,tax_rate_2019,tax_rate_2017,tax_rate_2016,tax_rate_2015,tax_rate_2014,tax_rate_2013,tax_rate_2012,tax_rate_2011
5,City of Atlanta,8.520,7.850,7.850,8.350,,,,,,,
05A,City of Atlanta - Downtown CID,5.000,5.000,5.000,5.000,,,,,,,
05B,City of Atlanta - Buckhead CID,3.000,3.000,3.000,3.000,,,,,,,
05C,City of Atlanta - Midtown CID,5.000,5.000,5.000,5.000,,,,,,,
05D,City of Atlanta - Downtown CID/Midtown CID,,,,,,,,,,,
05E,City of Atlanta - Downtown CID/Midtown CID/Eastside TAD,,,,,,,,,,,
05F,City of Atlanta - Downtown CID/Eastside TAD,,,,,,,,,,,
05G,City of Atlanta - Beltline TAD/Midtown CID,,,,,,,,,,,
05H,City of Atlanta - Airport West CID,5.000,5.000,5.000,5.000,,,,,,,
05I,City of Atlanta - Airport West CID/Princeton Lakes TAD,,,,,,,,,,,
05J,City of Atlanta - Little Five Points CID,3.500,3.500,3.000,4.000,,,,,,,
05K,City of Atlanta - Westside CID,5.000,5.000,5.000,5.000,,,,,,,
05L,City of Atlanta - Westside CID/Beltline TAD,,,,,,,,,,,
05P,City of Atlanta - Stadium TAD,,,,,,,,,,,
05Q,City of Atlanta - Campbellton TAD,,,,,,,,,,,
OSR,City of Atlanta - Metropolitan TAD,,,,,,,,,,,
05S,City of Atlanta - Hollowell TAD,,,,,,,,,,,
05T,City of Atlanta - Beltline TAD,,,,,,,,,,,
05U,City of Atlanta - Princeton Lakes TAD,,,,,,,,,,,
05V,City of Atlanta - Perry Bolton TAD,,,,,,,,,,,
05W,City of Atlanta - Eastside TAD,,,,,,,,,,,
05X,City of Atlanta - Atlantic Station TAD,,,,,,,,,,,
05Y,City of Atlanta - Downtown CID/Westside TAD,,,,,,,,,,,
05Z,City of Atlanta - Westside TAD,,,,,,,,,,,
10,City of Alpharetta,4.785,4.935,4.935,4.820,,,,,,,
10A,City of Alpharetta - North Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
15,City of College Park,13.619,12.619,12.619,12.619,,,,,,,
15H,City of College Park - Airport West CID,5.000,5.000,5.000,5.000,,,,,,,
15Z,City of College Park - College Park TAD,,,,,,,,,,,
20,City of East Point,13.000,13.250,13.450,13.450,,,,,,,
20H,City of East Point - Airport West CID,5.000,5.000,5.000,5.000,,,,,,,
20I,City of East Point- East Point TAD #2/ Airport West CID,,,,,,,,,,,
20J,City of East Point - East Point TAD/Airport West CID,,,,,,,,,,,
20Y,City of East Point - East Point TAD #2,,,,,,,,,,,
20Z,City of East Point - East Point TAD,,,,,,,,,,,
25,City of Fairburn,8.100,8.100,8.100,8.100,,,,,,,
25C,City of Fairburn - South Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
30,City of Hapeville,15.729,15.729,16.000,16.110,,,,,,,
30A,City of Hapeville - Airport West CID,5.000,5.000,5.000,5.000,,,,,,,
30B,City of Hapeville - Hapeville TAD/Airport West CID,,,,,,,,,,,
30Z,City of Hapeville - Hapeville TAD,,,,,,,,,,,
35,City of Mountain Park,7.080,8.000,9.550,9.730,,,,,,,
40,City of Palmetto,8.500,8.500,8.500,8.500,,,,,,,
40C,City of Palmetto - South Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
45,City of Roswell,4.363,4.618,4.705,4.705,,,,,,,
45A,City of Roswell - North Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
50,City of Union City,11.380,12.138,12.893,12.952,,,,,,,
50C,City of Union City - South Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
50Z,City of South Fulton - Union City TAD,,,,,,,,,,,
55,City of South Fulton,12.899,12.899,12.899,11.579,,,,,,,
55C,City of South Fulton - South Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
55D,City of South Fulton - Fulton Industrial Boulevard CID,4.000,4.000,4.000,DNE,,,,,,,
55H,City of South Fulton - Airport West CID,5.000,5.000,5.000,5.000,,,,,,,
56,City of Milton,4.469,4.731,4.731,4.731,,,,,,,
56A,City of Milton - North Fulton CID,3.000,3.000,3.000,3.000,,,,,,,
57,City of Johns Creek,3.986,3.986,3.986,3.552,,,,,,,
59,City of Sandy Springs,4.731,4.731,4.731,4.731,,,,,,,
59B,City of Sandy Springs - Fulton Perimeter CID,4.000,4.000,4.000,4.000,,,,,,,
65,City of Chattahoochee Hills,9.000,9.460,10.000,10.000,,,,,,,
70,Fulton Industrial District,9.550,9.550,11.880,11.920,,,,,,,
70D,Fulton Industrial District - Fulton Industrial Boulevard CID,4.000,4.000,4.000,,,,,,,,
NA-1,County Incorporated,,,9.776,9.899,,,,,,,
NA-2,County Unincorporated,,,9.776,9.899,,,,,,,
NA-3,Ind School Atlanta,,,20.740,20.740,,,,,,,
NA-4,School,,,17.796,17.796,,,,,,,